Role Name,Kebab-Case ID,Website URL,Raw JSON URL,API Endpoint,Category
Angular,angular,https://roadmap.sh/angular,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/angular/angular.json,/angular.json,Frontend & UI
CSS,css,https://roadmap.sh/css,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/css/css.json,/css.json,Frontend & UI
Frontend,frontend,https://roadmap.sh/frontend,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/frontend/frontend.json,/frontend.json,Frontend & UI
HTML,html,https://roadmap.sh/html,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/html/html.json,/html.json,Frontend & UI
React,react,https://roadmap.sh/react,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/react/react.json,/react.json,Frontend & UI
React Native,react-native,https://roadmap.sh/react-native,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/react-native/react-native.json,/react-native.json,Frontend & UI
Vue,vue,https://roadmap.sh/vue,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/vue/vue.json,/vue.json,Frontend & UI
Backend & Frameworks,,,,,
ASP.NET Core,aspnet-core,https://roadmap.sh/aspnet-core,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/aspnet-core/aspnet-core.json,/aspnet-core.json,Backend & Frameworks
Backend,backend,https://roadmap.sh/backend,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/backend/backend.json,/backend.json,Backend & Frameworks
Full-Stack,full-stack,https://roadmap.sh/full-stack,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/full-stack/full-stack.json,/full-stack.json,Backend & Frameworks
Laravel,laravel,https://roadmap.sh/laravel,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/laravel/laravel.json,/laravel.json,Backend & Frameworks
Next.js,nextjs,https://roadmap.sh/nextjs,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/nextjs/nextjs.json,/nextjs.json,Backend & Frameworks
Node.js,nodejs,https://roadmap.sh/nodejs,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/nodejs/nodejs.json,/nodejs.json,Backend & Frameworks
Spring Boot,spring-boot,https://roadmap.sh/spring-boot,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/spring-boot/spring-boot.json,/spring-boot.json,Backend & Frameworks
Mobile Development,,,,,
Android,android,https://roadmap.sh/android,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/android/android.json,/android.json,Mobile Development
Flutter,flutter,https://roadmap.sh/flutter,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/flutter/flutter.json,/flutter.json,Mobile Development
iOS,ios,https://roadmap.sh/ios,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/ios/ios.json,/ios.json,Mobile Development
Databases & Storage,,,,,
MongoDB,mongodb,https://roadmap.sh/mongodb,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/mongodb/mongodb.json,/mongodb.json,Databases & Storage
PostgreSQL DBA,postgresql-dba,https://roadmap.sh/postgresql-dba,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/postgresql-dba/postgresql-dba.json,/postgresql-dba.json,Databases & Storage
Redis,redis,https://roadmap.sh/redis,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/redis/redis.json,/redis.json,Databases & Storage
SQL,sql,https://roadmap.sh/sql,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/sql/sql.json,/sql.json,Databases & Storage
Cloud & Infrastructure,,,,,
AWS,aws,https://roadmap.sh/aws,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/aws/aws.json,/aws.json,Cloud & Infrastructure
Cloudflare,cloudflare,https://roadmap.sh/cloudflare,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/cloudflare/cloudflare.json,/cloudflare.json,Cloud & Infrastructure
DevOps,devops,https://roadmap.sh/devops,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/devops/devops.json,/devops.json,Cloud & Infrastructure
Docker,docker,https://roadmap.sh/docker,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/docker/docker.json,/docker.json,Cloud & Infrastructure
Kubernetes,kubernetes,https://roadmap.sh/kubernetes,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/kubernetes/kubernetes.json,/kubernetes.json,Cloud & Infrastructure
Linux,linux,https://roadmap.sh/linux,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/linux/linux.json,/linux.json,Cloud & Infrastructure
Terraform,terraform,https://roadmap.sh/terraform,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/terraform/terraform.json,/terraform.json,Cloud & Infrastructure
Data Science & AI,,,,,
AI Agents,ai-agents,https://roadmap.sh/ai-agents,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/ai-agents/ai-agents.json,/ai-agents.json,Data Science & AI
AI Data Scientist,ai-data-scientist,https://roadmap.sh/ai-data-scientist,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/ai-data-scientist/ai-data-scientist.json,/ai-data-scientist.json,Data Science & AI
AI Engineer,ai-engineer,https://roadmap.sh/ai-engineer,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/ai-engineer/ai-engineer.json,/ai-engineer.json,Data Science & AI
AI Red Teaming,ai-red-teaming,https://roadmap.sh/ai-red-teaming,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/ai-red-teaming/ai-red-teaming.json,/ai-red-teaming.json,Data Science & AI
Data Analyst,data-analyst,https://roadmap.sh/data-analyst,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/data-analyst/data-analyst.json,/data-analyst.json,Data Science & AI
Data Engineer,data-engineer,https://roadmap.sh/data-engineer,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/data-engineer/data-engineer.json,/data-engineer.json,Data Science & AI
Machine Learning,machine-learning,https://roadmap.sh/machine-learning,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/machine-learning/machine-learning.json,/machine-learning.json,Data Science & AI
MLOps,mlops,https://roadmap.sh/mlops,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/mlops/mlops.json,/mlops.json,Data Science & AI
Specialized Technical,,,,,
API Design,api-design,https://roadmap.sh/api-design,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/api-design/api-design.json,/api-design.json,Specialized Technical
Blockchain,blockchain,https://roadmap.sh/blockchain,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/blockchain/blockchain.json,/blockchain.json,Specialized Technical
Code Review,code-review,https://roadmap.sh/code-review,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/code-review/code-review.json,/code-review.json,Specialized Technical
Computer Science,computer-science,https://roadmap.sh/computer-science,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/computer-science/computer-science.json,/computer-science.json,Specialized Technical
Cybersecurity,cyber-security,https://roadmap.sh/cyber-security,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/cyber-security/cyber-security.json,/cyber-security.json,Specialized Technical
Data Structures & Algorithms,datastructures-and-algorithms,https://roadmap.sh/datastructures-and-algorithms,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/datastructures-and-algorithms/datastructures-and-algorithms.json,/datastructures-and-algorithms.json,Specialized Technical
Design System,design-system,https://roadmap.sh/design-system,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/design-system/design-system.json,/design-system.json,Specialized Technical
Developer Relations,devrel,https://roadmap.sh/devrel,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/devrel/devrel.json,/devrel.json,Specialized Technical
Game Developer,game-developer,https://roadmap.sh/game-developer,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/game-developer/game-developer.json,/game-developer.json,Specialized Technical
GraphQL,graphql,https://roadmap.sh/graphql,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/graphql/graphql.json,/graphql.json,Specialized Technical
QA,qa,https://roadmap.sh/qa,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/qa/qa.json,/qa.json,Specialized Technical
Server-Side Game Developer,server-side-game-developer,https://roadmap.sh/server-side-game-developer,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/server-side-game-developer/server-side-game-developer.json,/server-side-game-developer.json,Specialized Technical
Software Architect,software-architect,https://roadmap.sh/software-architect,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/software-architect/software-architect.json,/software-architect.json,Specialized Technical
Software Design & Architecture,software-design-architecture,https://roadmap.sh/software-design-architecture,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/software-design-architecture/software-design-architecture.json,/software-design-architecture.json,Specialized Technical
System Design,system-design,https://roadmap.sh/system-design,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/system-design/system-design.json,/system-design.json,Specialized Technical
Non-Technical Roles,,,,,
BI Analyst,bi-analyst,https://roadmap.sh/bi-analyst,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/bi-analyst/bi-analyst.json,/bi-analyst.json,Non-Technical Roles
Engineering Manager,engineering-manager,https://roadmap.sh/engineering-manager,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/engineering-manager/engineering-manager.json,/engineering-manager.json,Non-Technical Roles
Product Manager,product-manager,https://roadmap.sh/product-manager,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/product-manager/product-manager.json,/product-manager.json,Non-Technical Roles
Technical Writer,technical-writer,https://roadmap.sh/technical-writer,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/technical-writer/technical-writer.json,/technical-writer.json,Non-Technical Roles
UX Design,ux-design,https://roadmap.sh/ux-design,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/ux-design/ux-design.json,/ux-design.json,Non-Technical Roles
Emerging Technologies,,,,,
Git & GitHub,git-github,https://roadmap.sh/git-github,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/git-github/git-github.json,/git-github.json,Emerging Technologies
Prompt Engineering,prompt-engineering,https://roadmap.sh/prompt-engineering,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/prompt-engineering/prompt-engineering.json,/prompt-engineering.json,Emerging Technologies
